62,"The Valley                         ",AIA,"窶・                ",595
1455,"Holon                              ",ISR,"Tel Aviv            ",163100
1456,"Petah Tiqwa                        ",ISR,"Ha Merkaz           ",159400
1457,"Ashdod                             ",ISR,"Ha Darom            ",155800
1458,"Netanya                            ",ISR,"Ha Merkaz           ",154900
1459,"Bat Yam                            ",ISR,"Tel Aviv            ",137000
1460,"Bene Beraq                         ",ISR,"Tel Aviv            ",133900
1461,"Ramat Gan                          ",ISR,"Tel Aviv            ",126900
1462,"Ashqelon                           ",ISR,"Ha Darom            ",92300
1463,"Rehovot                            ",ISR,"Ha Merkaz           ",90300
1464,"Roma                               ",ITA,"Latium              ",2643581
1465,"Milano                             ",ITA,"Lombardia           ",1300977
1466,"Napoli                             ",ITA,"Campania            ",1002619
1467,"Torino                             ",ITA,"Piemonte            ",903705
1468,"Palermo                            ",ITA,"Sisilia             ",683794
1469,"Genova                             ",ITA,"Liguria             ",636104
1470,"Bologna                            ",ITA,"Emilia-Romagna      ",381161
1471,"Firenze                            ",ITA,"Toscana             ",376662
1472,"Catania                            ",ITA,"Sisilia             ",337862
1473,"Bari                               ",ITA,"Apulia              ",331848
1474,"Venezia                            ",ITA,"Veneto              ",277305
1475,"Messina                            ",ITA,"Sisilia             ",259156
1476,"Verona                             ",ITA,"Veneto              ",255268
1477,"Trieste                            ",ITA,Friuli-Venezia Giuli,216459
1478,"Padova                             ",ITA,"Veneto              ",211391
1479,"Taranto                            ",ITA,"Apulia              ",208214
1480,"Brescia                            ",ITA,"Lombardia           ",191317
1481,"Reggio di Calabria                 ",ITA,"Calabria            ",179617
1482,"Modena                             ",ITA,"Emilia-Romagna      ",176022
1483,"Prato                              ",ITA,"Toscana             ",172473
1484,"Parma                              ",ITA,"Emilia-Romagna      ",168717
1485,"Cagliari                           ",ITA,"Sardinia            ",165926
1486,"Livorno                            ",ITA,"Toscana             ",161673
1487,"Perugia                            ",ITA,"Umbria              ",156673
1488,"Foggia                             ",ITA,"Apulia              ",154891
1489,"Reggio nellﾂｴ Emilia               ",ITA,"Emilia-Romagna      ",143664
1490,"Salerno                            ",ITA,"Campania            ",142055
1491,"Ravenna                            ",ITA,"Emilia-Romagna      ",138418
1492,"Ferrara                            ",ITA,"Emilia-Romagna      ",132127
1493,"Rimini                             ",ITA,"Emilia-Romagna      ",131062
1494,"Syrakusa                           ",ITA,"Sisilia             ",126282
1495,"Sassari                            ",ITA,"Sardinia            ",120803
1496,"Monza                              ",ITA,"Lombardia           ",119516
1497,"Bergamo                            ",ITA,"Lombardia           ",117837
1498,"Pescara                            ",ITA,"Abruzzit            ",115698
1499,"Latina                             ",ITA,"Latium              ",114099
1500,"Vicenza                            ",ITA,"Veneto              ",109738
1501,"Terni                              ",ITA,"Umbria              ",107770
1502,"Forlﾃｬ                             ",ITA,"Emilia-Romagna      ",107475
1503,"Trento                             ",ITA,"Trentino-Alto Adige ",104906
1504,"Novara                             ",ITA,"Piemonte            ",102037
1505,"Piacenza                           ",ITA,"Emilia-Romagna      ",98384
1506,"Ancona                             ",ITA,"Marche              ",98329
1507,"Lecce                              ",ITA,"Apulia              ",98208
1508,"Bolzano                            ",ITA,"Trentino-Alto Adige ",97232
1509,"Catanzaro                          ",ITA,"Calabria            ",96700
1510,"La Spezia                          ",ITA,"Liguria             ",95504
1511,"Udine                              ",ITA,Friuli-Venezia Giuli,94932
1512,"Torre del Greco                    ",ITA,"Campania            ",94505
1513,"Andria                             ",ITA,"Apulia              ",94443
1514,"Brindisi                           ",ITA,"Apulia              ",93454
1515,"Giugliano in Campania              ",ITA,"Campania            ",93286
1516,"Pisa                               ",ITA,"Toscana             ",92379
1517,"Barletta                           ",ITA,"Apulia              ",91904
1518,"Arezzo                             ",ITA,"Toscana             ",91729
1519,"Alessandria                        ",ITA,"Piemonte            ",90289
1520,"Cesena                             ",ITA,"Emilia-Romagna      ",89852
1521,"Pesaro                             ",ITA,"Marche              ",88987
1522,"Dili                               ",TMP,"Dili                ",47900
1523,"Wien                               ",AUT,"Wien                ",1608144
1524,"Graz                               ",AUT,"Steiermark          ",240967
1525,"Linz                               ",AUT,"North Austria       ",188022
1526,"Salzburg                           ",AUT,"Salzburg            ",144247
1527,"Innsbruck                          ",AUT,"Tiroli              ",111752
1528,"Klagenfurt                         ",AUT,"Kﾃ､rnten            ",91141
1529,"Spanish Town                       ",JAM,"St. Catherine       ",110379
1530,"Kingston                           ",JAM,"St. Andrew          ",103962
1531,"Portmore                           ",JAM,"St. Andrew          ",99799
1532,"Tokyo                              ",JPN,"Tokyo-to            ",7980230
1533,"Jokohama [Yokohama]                ",JPN,"Kanagawa            ",3339594
1534,"Osaka                              ",JPN,"Osaka               ",2595674
1535,"Nagoya                             ",JPN,"Aichi               ",2154376
1536,"Sapporo                            ",JPN,"Hokkaido            ",1790886
1537,"Kioto                              ",JPN,"Kyoto               ",1461974
1538,"Kobe                               ",JPN,"Hyogo               ",1425139
1539,"Fukuoka                            ",JPN,"Fukuoka             ",1308379
1540,"Kawasaki                           ",JPN,"Kanagawa            ",1217359
1541,"Hiroshima                          ",JPN,"Hiroshima           ",1119117
1542,"Kitakyushu                         ",JPN,"Fukuoka             ",1016264
1543,"Sendai                             ",JPN,"Miyagi              ",989975
1544,"Chiba                              ",JPN,"Chiba               ",863930
1545,"Sakai                              ",JPN,"Osaka               ",797735
1546,"Kumamoto                           ",JPN,"Kumamoto            ",656734
1547,"Okayama                            ",JPN,"Okayama             ",624269
1548,"Sagamihara                         ",JPN,"Kanagawa            ",586300
1549,"Hamamatsu                          ",JPN,"Shizuoka            ",568796
1550,"Kagoshima                          ",JPN,"Kagoshima           ",549977
1551,"Funabashi                          ",JPN,"Chiba               ",545299
1552,"Higashiosaka                       ",JPN,"Osaka               ",517785
1553,"Hachioji                           ",JPN,"Tokyo-to            ",513451
1554,"Niigata                            ",JPN,"Niigata             ",497464
1555,"Amagasaki                          ",JPN,"Hyogo               ",481434
1556,"Himeji                             ",JPN,"Hyogo               ",475167
1557,"Shizuoka                           ",JPN,"Shizuoka            ",473854
1558,"Urawa                              ",JPN,"Saitama             ",469675
1559,"Matsuyama                          ",JPN,"Ehime               ",466133
1560,"Matsudo                            ",JPN,"Chiba               ",461126
1561,"Kanazawa                           ",JPN,"Ishikawa            ",455386
1562,"Kawaguchi                          ",JPN,"Saitama             ",452155
1563,"Ichikawa                           ",JPN,"Chiba               ",441893
1564,"Omiya                              ",JPN,"Saitama             ",441649
1565,"Utsunomiya                         ",JPN,"Tochigi             ",440353
1566,"Oita                               ",JPN,"Oita                ",433401
1567,"Nagasaki                           ",JPN,"Nagasaki            ",432759
1568,"Yokosuka                           ",JPN,"Kanagawa            ",430200
1569,"Kurashiki                          ",JPN,"Okayama             ",425103
1570,"Gifu                               ",JPN,"Gifu                ",408007
1571,"Hirakata                           ",JPN,"Osaka               ",403151
1572,"Nishinomiya                        ",JPN,"Hyogo               ",397618
1573,"Toyonaka                           ",JPN,"Osaka               ",396689
1574,"Wakayama                           ",JPN,"Wakayama            ",391233
1575,"Fukuyama                           ",JPN,"Hiroshima           ",376921
1576,"Fujisawa                           ",JPN,"Kanagawa            ",372840
1577,"Asahikawa                          ",JPN,"Hokkaido            ",364813
1578,"Machida                            ",JPN,"Tokyo-to            ",364197
1579,"Nara                               ",JPN,"Nara                ",362812
1580,"Takatsuki                          ",JPN,"Osaka               ",361747
1581,"Iwaki                              ",JPN,"Fukushima           ",361737
1582,"Nagano                             ",JPN,"Nagano              ",361391
1583,"Toyohashi                          ",JPN,"Aichi               ",360066
1584,"Toyota                             ",JPN,"Aichi               ",346090
1585,"Suita                              ",JPN,"Osaka               ",345750
1586,"Takamatsu                          ",JPN,"Kagawa              ",332471
1587,"Koriyama                           ",JPN,"Fukushima           ",330335
1588,"Okazaki                            ",JPN,"Aichi               ",328711
1589,"Kawagoe                            ",JPN,"Saitama             ",327211
1590,"Tokorozawa                         ",JPN,"Saitama             ",325809
1591,"Toyama                             ",JPN,"Toyama              ",325790
1592,"Kochi                              ",JPN,"Kochi               ",324710
1593,"Kashiwa                            ",JPN,"Chiba               ",320296
1594,"Akita                              ",JPN,"Akita               ",314440
1595,"Miyazaki                           ",JPN,"Miyazaki            ",303784
1596,"Koshigaya                          ",JPN,"Saitama             ",301446
1597,"Naha                               ",JPN,"Okinawa             ",299851
1598,"Aomori                             ",JPN,"Aomori              ",295969
1599,"Hakodate                           ",JPN,"Hokkaido            ",294788
1600,"Akashi                             ",JPN,"Hyogo               ",292253
1601,"Yokkaichi                          ",JPN,"Mie                 ",288173
1602,"Fukushima                          ",JPN,"Fukushima           ",287525
1603,"Morioka                            ",JPN,"Iwate               ",287353
1604,"Maebashi                           ",JPN,"Gumma               ",284473
1605,"Kasugai                            ",JPN,"Aichi               ",282348
1606,"Otsu                               ",JPN,"Shiga               ",282070
1607,"Ichihara                           ",JPN,"Chiba               ",279280
1608,"Yao                                ",JPN,"Osaka               ",276421
1609,"Ichinomiya                         ",JPN,"Aichi               ",270828
1610,"Tokushima                          ",JPN,"Tokushima           ",269649
1611,"Kakogawa                           ",JPN,"Hyogo               ",266281
1612,"Ibaraki                            ",JPN,"Osaka               ",261020
1613,"Neyagawa                           ",JPN,"Osaka               ",257315
1614,"Shimonoseki                        ",JPN,"Yamaguchi           ",257263
1615,"Yamagata                           ",JPN,"Yamagata            ",255617
1616,"Fukui                              ",JPN,"Fukui               ",254818
1617,"Hiratsuka                          ",JPN,"Kanagawa            ",254207
1618,"Mito                               ",JPN,"Ibaragi             ",246559
1619,"Sasebo                             ",JPN,"Nagasaki            ",244240
1620,"Hachinohe                          ",JPN,"Aomori              ",242979
1621,"Takasaki                           ",JPN,"Gumma               ",239124
1622,"Shimizu                            ",JPN,"Shizuoka            ",239123
1623,"Kurume                             ",JPN,"Fukuoka             ",235611
1624,"Fuji                               ",JPN,"Shizuoka            ",231527
1625,"Soka                               ",JPN,"Saitama             ",222768
1626,"Fuchu                              ",JPN,"Tokyo-to            ",220576
1627,"Chigasaki                          ",JPN,"Kanagawa            ",216015
1628,"Atsugi                             ",JPN,"Kanagawa            ",212407
1629,"Numazu                             ",JPN,"Shizuoka            ",211382
1630,"Ageo                               ",JPN,"Saitama             ",209442
1631,"Yamato                             ",JPN,"Kanagawa            ",208234
1632,"Matsumoto                          ",JPN,"Nagano              ",206801
1633,"Kure                               ",JPN,"Hiroshima           ",206504
1634,"Takarazuka                         ",JPN,"Hyogo               ",205993
1635,"Kasukabe                           ",JPN,"Saitama             ",201838
1636,"Chofu                              ",JPN,"Tokyo-to            ",201585
1637,"Odawara                            ",JPN,"Kanagawa            ",200171
1638,"Kofu                               ",JPN,"Yamanashi           ",199753
1639,"Kushiro                            ",JPN,"Hokkaido            ",197608
1640,"Kishiwada                          ",JPN,"Osaka               ",197276
1641,"Hitachi                            ",JPN,"Ibaragi             ",196622
1642,"Nagaoka                            ",JPN,"Niigata             ",192407
1643,"Itami                              ",JPN,"Hyogo               ",190886
1644,"Uji                                ",JPN,"Kyoto               ",188735
1645,"Suzuka                             ",JPN,"Mie                 ",184061
1646,"Hirosaki                           ",JPN,"Aomori              ",177522
1647,"Ube                                ",JPN,"Yamaguchi           ",175206
1648,"Kodaira                            ",JPN,"Tokyo-to            ",174984
1649,"Takaoka                            ",JPN,"Toyama              ",174380
1650,"Obihiro                            ",JPN,"Hokkaido            ",173685
1651,"Tomakomai                          ",JPN,"Hokkaido            ",171958
1652,"Saga                               ",JPN,"Saga                ",170034
1653,"Sakura                             ",JPN,"Chiba               ",168072
1654,"Kamakura                           ",JPN,"Kanagawa            ",167661
1655,"Mitaka                             ",JPN,"Tokyo-to            ",167268
1656,"Izumi                              ",JPN,"Osaka               ",166979
1657,"Hino                               ",JPN,"Tokyo-to            ",166770
1658,"Hadano                             ",JPN,"Kanagawa            ",166512
1659,"Ashikaga                           ",JPN,"Tochigi             ",165243
1660,"Tsu                                ",JPN,"Mie                 ",164543
1661,"Sayama                             ",JPN,"Saitama             ",162472
1662,"Yachiyo                            ",JPN,"Chiba               ",161222
1663,"Tsukuba                            ",JPN,"Ibaragi             ",160768
1664,"Tachikawa                          ",JPN,"Tokyo-to            ",159430
1665,"Kumagaya                           ",JPN,"Saitama             ",157171
1666,"Moriguchi                          ",JPN,"Osaka               ",155941
1667,"Otaru                              ",JPN,"Hokkaido            ",155784
1668,"Anjo                               ",JPN,"Aichi               ",153823
1669,"Narashino                          ",JPN,"Chiba               ",152849
1670,"Oyama                              ",JPN,"Tochigi             ",152820
1671,"Ogaki                              ",JPN,"Gifu                ",151758
1672,"Matsue                             ",JPN,"Shimane             ",149821
1673,"Kawanishi                          ",JPN,"Hyogo               ",149794
1674,"Hitachinaka                        ",JPN,"Tokyo-to            ",148006
1675,"Niiza                              ",JPN,"Saitama             ",147744
1676,"Nagareyama                         ",JPN,"Chiba               ",147738
1677,"Tottori                            ",JPN,"Tottori             ",147523
1678,"Tama                               ",JPN,"Ibaragi             ",146712
1679,"Iruma                              ",JPN,"Saitama             ",145922
1680,"Ota                                ",JPN,"Gumma               ",145317
1681,"Omuta                              ",JPN,"Fukuoka             ",142889
1682,"Komaki                             ",JPN,"Aichi               ",139827
1683,"Ome                                ",JPN,"Tokyo-to            ",139216
1684,"Kadoma                             ",JPN,"Osaka               ",138953
1685,"Yamaguchi                          ",JPN,"Yamaguchi           ",138210
1686,"Higashimurayama                    ",JPN,"Tokyo-to            ",136970
1687,"Yonago                             ",JPN,"Tottori             ",136461
1688,"Matsubara                          ",JPN,"Osaka               ",135010
1689,"Musashino                          ",JPN,"Tokyo-to            ",134426
1690,"Tsuchiura                          ",JPN,"Ibaragi             ",134072
1691,"Joetsu                             ",JPN,"Niigata             ",133505
1692,"Miyakonojo                         ",JPN,"Miyazaki            ",133183
1693,"Misato                             ",JPN,"Saitama             ",132957
1694,"Kakamigahara                       ",JPN,"Gifu                ",131831
1695,"Daito                              ",JPN,"Osaka               ",130594
1696,"Seto                               ",JPN,"Aichi               ",130470
1697,"Kariya                             ",JPN,"Aichi               ",127969
1698,"Urayasu                            ",JPN,"Chiba               ",127550
1699,"Beppu                              ",JPN,"Oita                ",127486
1700,"Niihama                            ",JPN,"Ehime               ",127207
1701,"Minoo                              ",JPN,"Osaka               ",127026
1702,"Fujieda                            ",JPN,"Shizuoka            ",126897
1703,"Abiko                              ",JPN,"Chiba               ",126670
1704,"Nobeoka                            ",JPN,"Miyazaki            ",125547
1705,"Tondabayashi                       ",JPN,"Osaka               ",125094
1706,"Ueda                               ",JPN,"Nagano              ",124217
1707,"Kashihara                          ",JPN,"Nara                ",124013
1708,"Matsusaka                          ",JPN,"Mie                 ",123582
1709,"Isesaki                            ",JPN,"Gumma               ",123285
1710,"Zama                               ",JPN,"Kanagawa            ",122046
1711,"Kisarazu                           ",JPN,"Chiba               ",121967
1712,"Noda                               ",JPN,"Chiba               ",121030
1713,"Ishinomaki                         ",JPN,"Miyagi              ",120963
1714,"Fujinomiya                         ",JPN,"Shizuoka            ",119714
1715,"Kawachinagano                      ",JPN,"Osaka               ",119666
1716,"Imabari                            ",JPN,"Ehime               ",119357
1717,"Aizuwakamatsu                      ",JPN,"Fukushima           ",119287
1718,"Higashihiroshima                   ",JPN,"Hiroshima           ",119166
1719,"Habikino                           ",JPN,"Osaka               ",118968
1720,"Ebetsu                             ",JPN,"Hokkaido            ",118805
1721,"Hofu                               ",JPN,"Yamaguchi           ",118751
1722,"Kiryu                              ",JPN,"Gumma               ",118326
1723,"Okinawa                            ",JPN,"Okinawa             ",117748
1724,"Yaizu                              ",JPN,"Shizuoka            ",117258
1725,"Toyokawa                           ",JPN,"Aichi               ",115781
1726,"Ebina                              ",JPN,"Kanagawa            ",115571
1727,"Asaka                              ",JPN,"Saitama             ",114815
1728,"Higashikurume                      ",JPN,"Tokyo-to            ",111666
1729,"Ikoma                              ",JPN,"Nara                ",111645
1730,"Kitami                             ",JPN,"Hokkaido            ",111295
1731,"Koganei                            ",JPN,"Tokyo-to            ",110969
1732,"Iwatsuki                           ",JPN,"Saitama             ",110034
1733,"Mishima                            ",JPN,"Shizuoka            ",109699
1734,"Handa                              ",JPN,"Aichi               ",108600
1735,"Muroran                            ",JPN,"Hokkaido            ",108275
1736,"Komatsu                            ",JPN,"Ishikawa            ",107937
1737,"Yatsushiro                         ",JPN,"Kumamoto            ",107661
1738,"Iida                               ",JPN,"Nagano              ",107583
1739,"Tokuyama                           ",JPN,"Yamaguchi           ",107078
1740,"Kokubunji                          ",JPN,"Tokyo-to            ",106996
1741,"Akishima                           ",JPN,"Tokyo-to            ",106914
1742,"Iwakuni                            ",JPN,"Yamaguchi           ",106647
1743,"Kusatsu                            ",JPN,"Shiga               ",106232
1744,"Kuwana                             ",JPN,"Mie                 ",106121
1745,"Sanda                              ",JPN,"Hyogo               ",105643
1746,"Hikone                             ",JPN,"Shiga               ",105508
1747,"Toda                               ",JPN,"Saitama             ",103969
1748,"Tajimi                             ",JPN,"Gifu                ",103171
1749,"Ikeda                              ",JPN,"Osaka               ",102710
1750,"Fukaya                             ",JPN,"Saitama             ",102156
1751,"Ise                                ",JPN,"Mie                 ",101732
1752,"Sakata                             ",JPN,"Yamagata            ",101651
1753,"Kasuga                             ",JPN,"Fukuoka             ",101344
1754,"Kamagaya                           ",JPN,"Chiba               ",100821
1755,"Tsuruoka                           ",JPN,"Yamagata            ",100713
1756,"Hoya                               ",JPN,"Tokyo-to            ",100313
1757,"Nishio                             ",JPN,"Chiba               ",100032
1758,"Tokai                              ",JPN,"Aichi               ",99738
1759,"Inazawa                            ",JPN,"Aichi               ",98746
1760,"Sakado                             ",JPN,"Saitama             ",98221
1761,"Isehara                            ",JPN,"Kanagawa            ",98123
1762,"Takasago                           ",JPN,"Hyogo               ",97632
1763,"Fujimi                             ",JPN,"Saitama             ",96972
1764,"Urasoe                             ",JPN,"Okinawa             ",96002
1765,"Yonezawa                           ",JPN,"Yamagata            ",95592
1766,"Konan                              ",JPN,"Aichi               ",95521
1767,"Yamatokoriyama                     ",JPN,"Nara                ",95165
1768,"Maizuru                            ",JPN,"Kyoto               ",94784
1769,"Onomichi                           ",JPN,"Hiroshima           ",93756
1770,"Higashimatsuyama                   ",JPN,"Saitama             ",93342
1771,"Kimitsu                            ",JPN,"Chiba               ",93216
1772,"Isahaya                            ",JPN,"Nagasaki            ",93058
1773,"Kanuma                             ",JPN,"Tochigi             ",93053
1774,"Izumisano                          ",JPN,"Osaka               ",92583
1775,"Kameoka                            ",JPN,"Kyoto               ",92398
1776,"Mobara                             ",JPN,"Chiba               ",91664
1777,"Narita                             ",JPN,"Chiba               ",91470
1778,"Kashiwazaki                        ",JPN,"Niigata             ",91229
1779,"Tsuyama                            ",JPN,"Okayama             ",91170
1780,"Sanaa                              ",YEM,"Sanaa               ",503600
1781,"Aden                               ",YEM,"Aden                ",398300
1782,"Taizz                              ",YEM,"Taizz               ",317600
1783,"Hodeida                            ",YEM,"Hodeida             ",298500
1784,"al-Mukalla                         ",YEM,"Hadramawt           ",122400
1785,"Ibb                                ",YEM,"Ibb                 ",103300
1786,"Amman                              ",JOR,"Amman               ",1000000
1787,"al-Zarqa                           ",JOR,"al-Zarqa            ",389815
1788,"Irbid                              ",JOR,"Irbid               ",231511
1789,"al-Rusayfa                         ",JOR,"al-Zarqa            ",137247
1790,"Wadi al-Sir                        ",JOR,"Amman               ",89104
1791,"Flying Fish Cove                   ",CXR,"窶・                ",700
1792,"Beograd                            ",YUG,"Central Serbia      ",1204000
1793,"Novi Sad                           ",YUG,"Vojvodina           ",179626
1794,"Niﾅ｡                               ",YUG,"Central Serbia      ",175391
1795,"Priﾅ｡tina                          ",YUG,"Kosovo and Metohija ",155496
1796,"Kragujevac                         ",YUG,"Central Serbia      ",147305
1797,"Podgorica                          ",YUG,"Montenegro          ",135000
1798,"Subotica                           ",YUG,"Vojvodina           ",100386
1799,"Prizren                            ",YUG,"Kosovo and Metohija ",92303
1800,"Phnom Penh                         ",KHM,"Phnom Penh          ",570155
1801,"Battambang                         ",KHM,"Battambang          ",129800
1802,"Siem Reap                          ",KHM,"Siem Reap           ",105100
1803,"Douala                             ",CMR,"Littoral            ",1448300
1804,"Yaoundﾃｩ                           ",CMR,"Centre              ",1372800
1805,"Garoua                             ",CMR,"Nord                ",177000
1806,"Maroua                             ",CMR,"Extrﾃｪme-Nord       ",143000
1807,"Bamenda                            ",CMR,"Nord-Ouest          ",138000
1808,"Bafoussam                          ",CMR,"Ouest               ",131000
1809,"Nkongsamba                         ",CMR,"Littoral            ",112454
1810,"Montrﾃｩal                          ",CAN,"Quﾃｩbec             ",1016376
1811,"Calgary                            ",CAN,"Alberta             ",768082
1812,"Toronto                            ",CAN,"Ontario             ",688275
1813,"North York                         ",CAN,"Ontario             ",622632
1814,"Winnipeg                           ",CAN,"Manitoba            ",618477
1815,"Edmonton                           ",CAN,"Alberta             ",616306
1816,"Mississauga                        ",CAN,"Ontario             ",608072
1817,"Scarborough                        ",CAN,"Ontario             ",594501
1818,"Vancouver                          ",CAN,"British Colombia    ",514008
1819,"Etobicoke                          ",CAN,"Ontario             ",348845
1820,"London                             ",CAN,"Ontario             ",339917
1821,"Hamilton                           ",CAN,"Ontario             ",335614
1822,"Ottawa                             ",CAN,"Ontario             ",335277
1823,"Laval                              ",CAN,"Quﾃｩbec             ",330393
1824,"Surrey                             ",CAN,"British Colombia    ",304477
1825,"Brampton                           ",CAN,"Ontario             ",296711
1826,"Windsor                            ",CAN,"Ontario             ",207588
1827,"Saskatoon                          ",CAN,"Saskatchewan        ",193647
1828,"Kitchener                          ",CAN,"Ontario             ",189959
1829,"Markham                            ",CAN,"Ontario             ",189098
1830,"Regina                             ",CAN,"Saskatchewan        ",180400
1831,"Burnaby                            ",CAN,"British Colombia    ",179209
1832,"Quﾃｩbec                            ",CAN,"Quﾃｩbec             ",167264
1833,"York                               ",CAN,"Ontario             ",154980
1834,"Richmond                           ",CAN,"British Colombia    ",148867
1835,"Vaughan                            ",CAN,"Ontario             ",147889
1836,"Burlington                         ",CAN,"Ontario             ",145150
1837,"Oshawa                             ",CAN,"Ontario             ",140173
1838,"Oakville                           ",CAN,"Ontario             ",139192
1839,"Saint Catharines                   ",CAN,"Ontario             ",136216
1840,"Longueuil                          ",CAN,"Quﾃｩbec             ",127977
1841,"Richmond Hill                      ",CAN,"Ontario             ",116428
1842,"Thunder Bay                        ",CAN,"Ontario             ",115913
1843,"Nepean                             ",CAN,"Ontario             ",115100
1844,"Cape Breton                        ",CAN,"Nova Scotia         ",114733
1845,"East York                          ",CAN,"Ontario             ",114034
1846,"Halifax                            ",CAN,"Nova Scotia         ",113910
1847,"Cambridge                          ",CAN,"Ontario             ",109186
1848,"Gloucester                         ",CAN,"Ontario             ",107314
1849,"Abbotsford                         ",CAN,"British Colombia    ",105403
1850,"Guelph                             ",CAN,"Ontario             ",103593
1851,"Saint Johnﾂｴs                      ",CAN,"Newfoundland        ",101936
1852,"Coquitlam                          ",CAN,"British Colombia    ",101820
1853,"Saanich                            ",CAN,"British Colombia    ",101388
1854,"Gatineau                           ",CAN,"Quﾃｩbec             ",100702
1855,"Delta                              ",CAN,"British Colombia    ",95411
1856,"Sudbury                            ",CAN,"Ontario             ",92686
1857,"Kelowna                            ",CAN,"British Colombia    ",89442
1858,"Barrie                             ",CAN,"Ontario             ",89269
1859,"Praia                              ",CPV,"Sﾃ｣o Tiago          ",94800
1860,"Almaty                             ",KAZ,"Almaty Qalasy       ",1129400
1861,"Qaraghandy                         ",KAZ,"Qaraghandy          ",436900
1862,"Shymkent                           ",KAZ,"South Kazakstan     ",360100
1863,"Taraz                              ",KAZ,"Taraz               ",330100
1864,"Astana                             ",KAZ,"Astana              ",311200
1865,"ﾃ穆kemen                           ",KAZ,"East Kazakstan      ",311000
1866,"Pavlodar                           ",KAZ,"Pavlodar            ",300500
1867,"Semey                              ",KAZ,"East Kazakstan      ",269600
1868,"Aqtﾃｶbe                            ",KAZ,"Aqtﾃｶbe             ",253100
1869,"Qostanay                           ",KAZ,"Qostanay            ",221400
1870,"Petropavl                          ",KAZ,"North Kazakstan     ",203500
1871,"Oral                               ",KAZ,"West Kazakstan      ",195500
1872,"Temirtau                           ",KAZ,"Qaraghandy          ",170500
1873,"Qyzylorda                          ",KAZ,"Qyzylorda           ",157400
1874,"Aqtau                              ",KAZ,"Mangghystau         ",143400
1875,"Atyrau                             ",KAZ,"Atyrau              ",142500
1876,"Ekibastuz                          ",KAZ,"Pavlodar            ",127200
1877,"Kﾃｶkshetau                         ",KAZ,"North Kazakstan     ",123400
1878,"Rudnyy                             ",KAZ,"Qostanay            ",109500
1879,"Taldyqorghan                       ",KAZ,"Almaty              ",98000
1880,"Zhezqazghan                        ",KAZ,"Qaraghandy          ",90000
1881,"Nairobi                            ",KEN,"Nairobi             ",2290000
1882,"Mombasa                            ",KEN,"Coast               ",461753
1883,"Kisumu                             ",KEN,"Nyanza              ",192733
1884,"Nakuru                             ",KEN,"Rift Valley         ",163927
1885,"Machakos                           ",KEN,"Eastern             ",116293
1886,"Eldoret                            ",KEN,"Rift Valley         ",111882
1887,"Meru                               ",KEN,"Eastern             ",94947
1888,"Nyeri                              ",KEN,"Central             ",91258
1889,"Bangui                             ",CAF,"Bangui              ",524000
1890,"Shanghai                           ",CHN,"Shanghai            ",9696300
1891,"Peking                             ",CHN,"Peking              ",7472000
1892,"Chongqing                          ",CHN,"Chongqing           ",6351600
1893,"Tianjin                            ",CHN,"Tianjin             ",5286800
1894,"Wuhan                              ",CHN,"Hubei               ",4344600
1895,"Harbin                             ",CHN,"Heilongjiang        ",4289800
1896,"Shenyang                           ",CHN,"Liaoning            ",4265200
1897,"Kanton [Guangzhou]                 ",CHN,"Guangdong           ",4256300
1898,"Chengdu                            ",CHN,"Sichuan             ",3361500
1899,"Nanking [Nanjing]                  ",CHN,"Jiangsu             ",2870300
1900,"Changchun                          ",CHN,"Jilin               ",2812000
1901,"Xiﾂｴan                             ",CHN,"Shaanxi             ",2761400
1902,"Dalian                             ",CHN,"Liaoning            ",2697000
1903,"Qingdao                            ",CHN,"Shandong            ",2596000
1904,"Jinan                              ",CHN,"Shandong            ",2278100
1905,"Hangzhou                           ",CHN,"Zhejiang            ",2190500
1906,"Zhengzhou                          ",CHN,"Henan               ",2107200
1907,"Shijiazhuang                       ",CHN,"Hebei               ",2041500
1908,"Taiyuan                            ",CHN,"Shanxi              ",1968400
1909,"Kunming                            ",CHN,"Yunnan              ",1829500
1910,"Changsha                           ",CHN,"Hunan               ",1809800
1911,"Nanchang                           ",CHN,"Jiangxi             ",1691600
1912,"Fuzhou                             ",CHN,"Fujian              ",1593800
1913,"Lanzhou                            ",CHN,"Gansu               ",1565800
1914,"Guiyang                            ",CHN,"Guizhou             ",1465200
1915,"Ningbo                             ",CHN,"Zhejiang            ",1371200
1916,"Hefei                              ",CHN,"Anhui               ",1369100
1917,"Urumtﾅ｡i [ﾃ徨ﾃｼmqi]                ",CHN,"Xinxiang            ",1310100
1918,"Anshan                             ",CHN,"Liaoning            ",1200000
1919,"Fushun                             ",CHN,"Liaoning            ",1200000
1920,"Nanning                            ",CHN,"Guangxi             ",1161800
1921,"Zibo                               ",CHN,"Shandong            ",1140000
1922,"Qiqihar                            ",CHN,"Heilongjiang        ",1070000
1923,"Jilin                              ",CHN,"Jilin               ",1040000
1924,"Tangshan                           ",CHN,"Hebei               ",1040000
1925,"Baotou                             ",CHN,"Inner Mongolia      ",980000
1926,"Shenzhen                           ",CHN,"Guangdong           ",950500
1927,"Hohhot                             ",CHN,"Inner Mongolia      ",916700
1928,"Handan                             ",CHN,"Hebei               ",840000
1929,"Wuxi                               ",CHN,"Jiangsu             ",830000
